1	1167.071
2	1133.127
3	793.079
4	566.563
5	795.809
6	607.214
7	1003.175
8	648.662
9	750.938
10	687.616
11	678.087
12	651.997
13	700.119
14	671.66
15	770.891
16	712.403
17	750.938
18	700.119
19	858.731
20	566.563
21	651.997
22	942.995
23	793.079
24	687.616
25	803.944
26	700.119
27	651.997
28	687.616
29	750.938
30	607.214
31	750.938
32	651.997
33	607.214
34	712.403
35	822.132
36	823.815
37	731.181
38	715.867
39	848.659
40	832.178
41	850.289
42	642.45
43	674.013
44	686.232
45	686.232
46	832.178
47	766.327
48	875.964
49	970.478
50	708.085
51	1146.45
52	1027.515
53	840.673
54	748.474
55	649.857
56	801.306
57	748.474
58	830.357
59	656.455
60	669.456
61	793.198
62	656.455
63	697.821
64	765.552
65	1238.597
66	822.536
67	793.198
68	685.359
69	928.368
70	822.536
71	1092.559
72	801.306
73	883.17
74	880.727
75	1068.632
76	883.492
77	830.66
78	622.995
79	856.225
80	1052.761
81	619.524
82	676.108
83	591.025
84	656.694
85	619.524
86	856.225
87	801.597
88	921.714
89	768.641
90	605.442
91	1025.789
92	790.765
93	801.597
94	685.609
95	650.094
96	768.641
97	956.161
98	710.323
99	748.747
100	1050.711
