1	863.432
2	835.531
3	707.024
4	529.251
5	748.474
6	697.821
7	564.704
8	685.359
9	622.768
10	529.251
11	748.474
12	1254.156
13	541.327
14	707.024
15	707.024
16	748.474
17	748.474
18	748.474
19	529.251
20	768.361
21	939.901
22	499.941
23	790.477
24	557.021
25	697.821
26	697.821
27	748.474
28	605.222
29	986.868
30	656.455
31	656.455
32	560.876
33	822.536
34	473.377
35	605.222
36	801.306
37	656.455
38	605.222
39	733.939
40	685.359
41	748.474
42	646.533
43	646.533
44	564.704
45	697.821
46	649.857
47	587.151
48	560.876
49	855.913
50	529.251
51	605.222
52	892.876
53	710.065
54	605.222
55	619.299
56	685.359
57	733.939
58	420.336
59	748.474
60	605.222
61	748.474
62	525.164
63	656.455
64	619.299
65	707.024
66	605.222
67	697.821
68	748.474
69	619.299
70	840.673
71	622.768
72	622.768
73	685.359
74	587.151
75	669.456
76	603.9
77	648.439
78	603.9
79	820.74
80	511.588
81	603.9
82	603.9
83	705.48
84	655.022
85	645.122
86	603.9
87	528.095
88	563.471
89	563.471
90	439.402
91	696.298
92	540.145
93	528.095
94	603.9
95	999.847
96	838.837
97	528.095
98	708.514
99	746.84
100	810.217
